case_name,incident_name,protocol_candidate,mechanism_raw,mechanism_candidate,protocol_family,primary_root_cause,confidence,evidence_references
jokinthebox,JokInTheBox,jokinthebox,business logic flaw,unassigned,,,,
minestm,MineSTM,minestm,Business Logic Flaw,unassigned,,,,
will,Will,will,business logic flaw,unassigned,,,,
lifiprotocol,Lifiprotocol,lifiprotocol,Incorrect input validation,unassigned,,,,
uwulend_first,UwULend,uwulend,Price Manipulation,oracle_or_market_manipulation,,,,
lw2,LW,lw,Integer Underflow,unassigned,,,,
uwulend_second,UwULend,uwulend,Price Manipulation,oracle_or_market_manipulation,,,,
doughfina,DoughFina,doughfina,Incorrect input validation,unassigned,,,,
mrp,MRP,mrp,Reentrancy,unassigned,,,,
defiplaza,DeFiPlaza,defiplaza,loss of precision,unassigned,,,,
sbt,SBT,sbt,business logic flaw,unassigned,,,,
yodlrouter,YodlRouter,yodlrouter,Arbitrary Call,authorization_failure,,,,
ompxcontract,OMPx Contract,ompxcontract,FlashLoan,unassigned,,,,
ivestdao,iVest,ivestdao,Business logic flaw,unassigned,,,,
spectra_finance,Spectra_finance,spectra_finance,Incorrect input validation,unassigned,,,,
zenterest,Zenterest,zenterest,Price Out Of Date,unassigned,,,,
convergence,Convergence,convergence,Incorrect input validation,unassigned,,,,
bankroll,Bankroll_Network,bankroll,Incorrect input validation,unassigned,,,,
caterpillar_coin_cut,Caterpillar_Coin_CUT,caterpillar_coin_cut,Price Manipulation,oracle_or_market_manipulation,,,,
otseastaking,OTSeaStaking,otseastaking,Logic Flaw,business_logic_failure,,,,
bedrock_defi,Bedrock_DeFi,bedrock_defi,Swap ETH/BTC 1/1 in mint function,unassigned,,,,
aizpttoken,AIZPTToken,aizpttoken,Wrong Price Calculation,unassigned,,,,
onyxdao,OnyxDAO,onyxdao,Fake Market,unassigned,,,,
firetoken,FireToken,firetoken,Pair Manipulation With Transfer Function,unassigned,,,,
hydt,HYDT,hydt,Oracle Price Manipulation,unassigned,,,,
sashatoken,SASHAToken,sashatoken,Price Manipulation,oracle_or_market_manipulation,,,,
morphoblue,MorphoBlue,morphoblue,Overpriced Asset in Oracle,unassigned,,,,
penpiexyzio,Penpiexyz_io,penpiexyzio,Reentrancy and Reward Manipulation,unassigned,,,,
vista,Vista,vista,flashmint receive error,unassigned,,,,
labubu,LABUBU Token,labubu,Logic Flaw,business_logic_failure,,,,
pledge,Pledge,pledge,Access Control,authorization_failure,,,,
veth,vETH,veth,Vulnerable Price Dependency,unassigned,,,,
gain,GAIN,gain,bad function implementation,unassigned,,,,
it,IT,it,business logic flaw,unassigned,,,,
cloberdex,CloberDEX,cloberdex,Reentrancy,unassigned,,,,
98_token,98Token,98_token,Unprotected public function,unassigned,,,,
ast,Ast,ast,Price-Manipulation,unassigned,,,,
ipc,IPC Incorrect burn pairs,ipc,Logic Flaw,business_logic_failure,,,,
xbridge,XBridge,xbridge,Logic Flaw,business_logic_failure,,,,
idols_nft,IdolsNFT,idols_nft,Logic Flaw,business_logic_failure,,,,
j_pulsepot,JPulsepot,j_pulsepot,Logic Flaw,business_logic_failure,,,,
lp_mine,LPMine,lp_mine,Incorrect reward calculation,unassigned,,,,
laura_token,LAURAToken,laura_token,Pair Balance Manipulation,unassigned,,,,
mosca2,Mosca2,mosca,Logic Flaw,business_logic_failure,,,,
roulette_pot_v2,RoulettePotV2,roulette_pot,Price Manipulation,oracle_or_market_manipulation,,,,
mosca,Mosca,mosca,Logic Flaw,business_logic_failure,,,,
unilend,Unilend,unilend,Logic Flaw,business_logic_failure,,,,
sorra_staking,SorStaking,sorra_staking,Incorrect reward calculation,unassigned,,,,
hegic_options,HegicOptions,hegic_options,Business Logic Flaw,unassigned,,,,
bbx_token,BBXToken,bbx_token,Price Manipulation,oracle_or_market_manipulation,,,,
alkimiya_io,Alkimiya_IO,alkimiya_io,unsafecast,unassigned,,,,
dcf_token,DCFToken,dcf_token,Lack of Slippage Protection,unassigned,,,,
h2o,H2O,h2o,Weak Random Mint,unassigned,,,,
one_inch_fusion_v1_settlement_hack,1inch FusionV1 Settlement,one_inch_fusion_v1_settlement_hack,Arbitrary Yul Calldata,unassigned,,,,
uni,UNI,uni,Logic Flaw,business_logic_failure,,,,
pump,Pump,pump,Not Slippage Protection,unassigned,,,,
yzi_ai_token,YziAI,yzi_ai_token,Rug Pull,unassigned,,,,
btnft,BTNFT,btnft,Claim Rewards Without Protection,unassigned,,,,
lifeprotocol,Lifeprotocol,lifeprotocol,Price Manipulation,oracle_or_market_manipulation,,,,
w_key_dao,wKeyDAO,w_key_dao,unprotected function,unassigned,,,,
irys_ai,IRYSAI,irys_ai,rug pull,unassigned,,,,
krc_token_pair,KRC,krc_token_pair,deflationary token,unassigned,,,,
ydt_token,YDT,ydt_token,Logic Flaw,business_logic_failure,,,,
aave_boost,AAVEBoost,aave_boost,Logic Flaw,business_logic_failure,,,,
usual_money,UsualMoney,usual_money,Arbitrage,unassigned,,,,
bankroll_network,BankrollNetwork,bankroll_network,Incorrect dividends calculation,unassigned,,,,
bankroll_stack,BankrollStack,bankroll_stack,Incorrect dividends calculation,unassigned,,,,
gangsterfinance,Gangsterfinance,gangsterfinance,Incorrect dividends,unassigned,,,,
